"","DATE","pghngdp","fpi","patax","pghaww","pghawwp","pghhouse","pghmanuf","pghqwage"
"48","2012q4",127328952227.2,2609.548,7253,942.982981095496,941.011653530659,168.15,0.7,13520026889.2695
"49","2013q1",128587653529.123,2655.966,10045,951.79057595877,947.731226854539,168.5,1.3,13510100394.3334
"50","2013q2",130383465320.19,2687.519,9284,958.94369579508,957.264061581338,170.95,1.8,13698777898.9054
"51","2013q3",129450383899.545,2743.781,7486,952.170012571828,948.835948938572,171.79,2.3,13600743419.5209
"52","2013q4",130437565623.739,2798.665,7316,956.376180902746,953.624555654949,171.11,2.3,13704461963.5278
"53","2014q1",133592934500.243,2846.963,10071,986.619472704733,983.404932813316,171.14,0.7,13905294452.9735
"54","2014q2",133329431663.791,2934.034,9256,970.021023723,967.275903549026,175.78,1.4,13877867220.0606
"55","2014q3",134215616735.071,3008.181,7946,977.991244032944,973.316828694288,177.55,1.5,13970107609.8842
"56","2014q4",136390233527.369,3051.671,7888,988.993865514208,987.610446165325,177.57,0.9,14196457056.6749
"57","2015q1",140482302318.782,3069.402,10441,1043.14280292722,1042.28183974379,179.04,0.1,14728789721.3464
"58","2015q2",136393379616.92,3095.82,9766,996.983778442178,993.587682375286,181.36,-1.3,14300088869.5772
"59","2015q3",136981748210.421,3124.874,8275,1002.88176475501,996.51731804628,183.63,-1.5,14361776051.1601
"60","2015q4",142074847917.992,3111.409,7926,1035.54131526088,1031.88810214326,184.12,-1.9,14895759288.7955
"61","2016q1",133559450983.565,3119.873,11240,980.387016082979,974.694968406604,186.04,-0.4,13865741522.7608
"62","2016q2",138944584160.294,3148.187,9881,1004.44446991708,1001.47222016914,188.93,-0.2,14424809893.7692
"63","2016q3",144600414865.069,3182.316,8209,1050.90980746198,1044.01580872492,190.56,-0.4,15011981270.0469
"64","2016q4",142008401711.815,3224.736,8171,1029.74217993053,1026.9456615125,190.79,0,14742886240.5155
"65","2017q1",144839459774.07,3279.671,10981,1050.1787727593,1047.30247994515,190.55,-0.7,14923443213.1589
"66","2017q2",146146997513.092,3330.758,10399,1041.20120543854,1036.81433049513,196.03,0,15058164546.888
"67","2017q3",145427112116.808,3362.523,8727,1040.32911576752,1035.76588069577,197.53,-0.6,14983991605.0102
"68","2017q4",148965449571.469,3440.788,8815,1062.72822083084,1060.73272585021,198,0.7,15348561993.1903
"69","2018q1",153474608839.107,3508.645,11081,1083.61127689301,1079.89948196859,200.14,1.5,15617246225.0585
"70","2018q2",155174820178.704,3583.068,10770,1079.60892990916,1075.77283541974,204.98,1.9,15790256075.5215
"71","2018q3",154522955938.28,3611.702,9397,1081.72823882495,1076.88933256075,207.25,3.1,15723923771.9241
"72","2018q4",155039847889.812,3629.774,8971,1086.76722911823,1082.45303251066,206.2,1.4,15776521585.5943
"73","2019q1",158231980551.025,3659.427,11311,1110.22889311699,1106.78597624312,209.37,-0.4,16159816814.7272
"74","2019q2",161324035803.009,3733.736,11703,1115.39093207139,1112.96637749942,213.63,-2.2,16475600300.9673
"75","2019q3",160848765279.163,3778.6,9860,1122.52277067592,1119.75259561356,216.65,-3,16427062169.9521
"76","2019q4",160242499869.346,3765.649,9502,1125.39566616557,1123.34539015108,218.05,-3.1,16365145875.0941
"77","2020q1",160898215396.39,3751.239,11541,1160.07426159654,1158.82706723164,220.86,-3.2,16850773559.5347
"78","2020q2",143797309419.531,3459.03,8184,1198.00359544733,1196.07069712757,223.33,-15.2,15059805937.1218
"79","2020q3",151247640910.401,3706.422,11850,1193.70864246003,1192.27002959251,227.8,-5.4,15840074683.9617
"80","2020q4",157535701918.568,3878.3,9952,1234.48811473099,1233.43884837074,231.67,-2.8,16498619540.5105
"81","2021q1",NA,4004.072,12173,1214.80838249473,1213.95637347551,236.08,-0.8,16273820497.2004
"82","2021q2",NA,4102.844,13359,1242.36998204657,1243.84119054837,247.02,15.8,17046031946.5473
"83","2021q3",NA,4164.285,11351,1266.53797328199,1270.51484407074,258.71,5.1,17236961318.2388
"84","2021q4",NA,4259.168,11153,1296.17446020606,1300.02930301566,262.94,4.5,17696779339.6472
"85","2022q1",NA,4413.608,13617,1281.10743704464,1283.48015730767,269.88,4.8,17537615919.815
"86","2022q2",NA,4464.555,15846,NA,NA,284.31,4.2,NA
"87","2022q3",NA,4490.055,NA,NA,NA,287.12,3.8,NA
